memory,type,is_cold,exec_time,connection_time,client_time,provider_time
2048,warm,False,1078703,0.063525,1224943,1114
2048,warm,False,1069244,0.101181,1228890,1075
2048,warm,False,1113353,0.089265,1333050,1196
2048,warm,False,1110126,0.085205,1251774,1115
2048,warm,False,1173776,0.079246,1313665,1180
2048,warm,False,1185153,0.083017,1316273,1192
2048,warm,False,1886419,0.080504,2023575,1892
2048,warm,False,1859050,0.059089,1965847,1865
2048,warm,False,1136768,0.062809,1256909,1144
2048,warm,False,1074449,0.059618,1238992,1128
2048,warm,False,1066560,0.10705,1285924,1136
2048,warm,False,1246641,0.054199,1345545,1253
2048,warm,False,1044446,0.09966,1213938,1053
2048,warm,False,1048864,0.085995,1245243,1054
2048,warm,False,1531627,0.071954,1652684,1539
2048,warm,False,1449772,0.061198,1564055,1457
2048,warm,False,1369217,0.089616,1510604,1376
2048,warm,False,1095190,0.077379,1230537,1104
2048,warm,False,1264136,0.080892,1393420,1270
2048,warm,False,1091048,0.078545,1217496,1097
2048,warm,False,1148087,0.086271,1299760,1155
2048,warm,False,1197416,0.112868,1367327,1208
2048,warm,False,1855716,0.101992,2011218,1865
2048,warm,False,1195200,0.093708,1337874,1204
2048,warm,False,5647579,0.056645,5927960,5653
2048,warm,False,1116123,0.066004,1307727,1190
1024,warm,False,1191200,0.097035,1383779,1196
1024,warm,False,1344152,0.087068,1480589,1351
1024,warm,False,1253934,0.079269,1383555,1261
1024,warm,False,1109693,0.104499,1312124,1115
1024,warm,False,1121164,0.084992,1255712,1127
1024,warm,False,1143081,0.096711,1289947,1151
1024,warm,False,1186737,0.105848,1339496,1192
1024,warm,False,1138068,0.072811,1318167,1143
1024,warm,False,1209214,0.085378,1408074,1267
1024,warm,False,1183980,0.095726,1378148,1189
1024,warm,False,1129444,0.078783,1354021,1137
1024,warm,False,1178752,0.079341,1321319,1189
1024,warm,False,1220139,0.071639,1400840,1226
1024,warm,False,1114571,0.086738,1292574,1122
1024,warm,False,1134023,0.09688,1332325,1144
1024,warm,False,1244912,0.093937,1434668,1251
1024,warm,False,1171360,0.093116,1351754,1178
1024,warm,False,1274999,0.09665,1419636,1281
1024,warm,False,1229753,0.104666,1431829,1239
1024,warm,False,1290491,0.097121,1477990,1340
1024,warm,False,3134567,0.097425,3323569,3144
1024,warm,False,1272234,0.074257,1420346,1281
1024,warm,False,1750326,0.103316,1964612,1813
1024,warm,False,1147684,0.078351,1356247,1153
1024,warm,False,1268319,0.089108,1407345,1274
