Memory,FunctionTime,Invocations,DeltaT,WarmContainers
1536,10,7,1,7
1536,10,7,1,4
1536,10,7,1,7
1536,10,7,2,4
1536,10,7,2,6
1536,10,7,2,1
1536,10,7,2,7
1536,10,7,2,3
1536,10,7,4,6
1536,10,7,4,7
1536,10,7,4,7
1536,10,7,4,6
1536,10,7,4,7
1536,10,7,8,6
1536,10,7,8,6
1536,10,7,8,7
1536,10,7,8,7
1536,10,7,8,7
1536,10,7,15,7
1536,10,7,15,6
1536,10,7,15,7
1536,10,7,15,7
1536,10,7,15,7
1536,10,7,30,7
1536,10,7,30,5
1536,10,7,30,7
1536,10,7,30,7
1536,10,7,30,7
1536,10,7,60,6
1536,10,7,60,7
1536,10,7,60,7
1536,10,7,60,7
1536,10,7,60,7
1536,10,7,120,7
1536,10,7,120,7
1536,10,7,120,7
1536,10,7,120,7
1536,10,7,120,7
1536,10,7,180,7
1536,10,7,180,4
1536,10,7,180,7
1536,10,7,180,6
1536,10,7,180,7
1536,10,7,240,7
1536,10,7,240,7
1536,10,7,240,7
1536,10,7,240,7
1536,10,7,240,7
1536,10,7,300,7
1536,10,7,300,6
1536,10,7,300,6
1536,10,7,300,7
1536,10,7,300,6
1536,10,6,1,6
1536,10,6,1,6
1536,10,6,1,6
1536,10,6,1,6
1536,10,6,1,6
1536,10,6,2,3
1536,10,6,2,6
1536,10,6,2,6
1536,10,6,2,6
1536,10,6,2,1
1536,10,6,4,4
1536,10,6,4,4
1536,10,6,4,6
1536,10,6,4,6
1536,10,6,4,6
1536,10,6,8,6
1536,10,6,8,6
1536,10,6,8,4
1536,10,6,8,2
1536,10,6,8,2
1536,10,6,15,6
1536,10,6,15,4
1536,10,6,15,6
1536,10,6,15,6
1536,10,6,15,6
1536,10,6,30,6
1536,10,6,30,4
1536,10,6,30,6
1536,10,6,30,4
1536,10,6,30,4
1536,10,6,60,4
1536,10,6,60,6
1536,10,6,60,6
1536,10,6,60,6
1536,10,6,60,6
1536,10,6,120,4
1536,10,6,120,6
1536,10,6,120,6
1536,10,6,120,6
1536,10,6,120,6
1536,10,6,180,5
1536,10,6,180,4
1536,10,6,180,6
1536,10,6,180,6
1536,10,6,180,6
1536,10,6,240,6
1536,10,6,240,6
1536,10,6,240,6
1536,10,6,240,6
1536,10,6,240,6
1536,10,6,300,1
1536,10,6,300,5
1536,10,6,300,6
1536,10,6,300,6
1536,10,6,300,6
1536,10,2,420,1
1536,10,2,420,1
1536,10,2,420,1
1536,10,2,420,1
1536,10,2,420,1
1536,10,2,540,1
1536,10,2,540,1
1536,10,2,540,1
1536,10,2,540,1
1536,10,2,540,1
1536,10,2,660,0
1536,10,2,660,1
1536,10,2,660,1
1536,10,2,660,1
1536,10,2,660,1
1536,10,2,780,0
1536,10,2,780,0
1536,10,2,780,0
1536,10,2,780,0
1536,10,2,780,0
1536,10,2,840,0
1536,10,2,840,0
1536,10,2,840,0
1536,10,2,840,0
1536,10,2,840,0
1536,10,2,960,0
1536,10,2,960,0
1536,10,2,960,0
1536,10,2,960,0
1536,10,2,960,0
1536,10,2,1020,0
1536,10,2,1020,0
1536,10,2,1020,0
1536,10,2,1020,0
1536,10,2,1020,0
1536,10,2,1140,0
1536,10,2,1140,0
1536,10,2,1140,0
1536,10,2,1140,0
1536,10,2,1140,0
1536,10,2,1260,0
1536,10,2,1260,0
1536,10,2,1260,0
1536,10,2,1260,0
1536,10,2,1260,0
1536,10,2,1320,0
1536,10,2,1320,0
1536,10,2,1320,0
1536,10,2,1320,0
1536,10,2,1320,0
1536,10,9,360,8
1536,10,9,360,8
1536,10,9,360,9
1536,10,9,360,9
1536,10,9,360,9
1536,10,9,480,4
1536,10,9,480,5
1536,10,9,480,5
1536,10,9,480,5
1536,10,9,480,5
1536,10,9,600,5
1536,10,9,600,4
1536,10,9,600,5
1536,10,9,600,5
1536,10,9,600,5
1536,10,9,720,4
1536,10,9,720,4
1536,10,9,720,5
1536,10,9,720,5
1536,10,9,720,5
1536,10,9,900,2
1536,10,9,900,3
1536,10,9,900,3
1536,10,9,900,3
1536,10,9,900,3
1536,10,9,1080,2
1536,10,9,1080,2
1536,10,9,1080,2
1536,10,9,1080,3
1536,10,9,1080,3
1536,10,9,1200,1
1536,10,9,1200,1
1536,10,9,1200,2
1536,10,9,1200,2
1536,10,9,1200,2
1536,10,8,420,4
1536,10,8,420,3
1536,10,8,420,4
1536,10,8,420,4
1536,10,8,420,4
1536,10,8,540,4
1536,10,8,540,5
1536,10,8,540,4
1536,10,8,540,4
1536,10,8,540,4
1536,10,8,660,4
1536,10,8,660,4
1536,10,8,660,4
1536,10,8,660,4
1536,10,8,660,4
1536,10,8,780,2
1536,10,8,780,2
1536,10,8,780,2
1536,10,8,780,2
1536,10,8,780,2
1536,10,8,840,3
1536,10,8,840,0
1536,10,8,840,2
1536,10,8,840,2
1536,10,8,840,2
1536,10,8,960,2
1536,10,8,960,2
1536,10,8,960,2
1536,10,8,960,2
1536,10,8,960,2
1536,10,8,1020,2
1536,10,8,1020,2
1536,10,8,1020,2
1536,10,8,1020,2
1536,10,8,1020,2
1536,10,8,1140,1
1536,10,8,1140,1
1536,10,8,1140,1
1536,10,8,1140,1
1536,10,8,1140,1
1536,10,8,1260,1
1536,10,8,1260,1
1536,10,8,1260,1
1536,10,8,1260,1
1536,10,8,1260,1
1536,10,8,1320,1
1536,10,8,1320,1
1536,10,8,1320,1
1536,10,8,1320,1
1536,10,8,1320,1
1536,10,10,420,5
1536,10,10,420,5
1536,10,10,420,5
1536,10,10,420,5
1536,10,10,420,5
1536,10,10,540,5
1536,10,10,540,5
1536,10,10,540,5
1536,10,10,540,5
1536,10,10,540,5
1536,10,10,660,5
1536,10,10,660,5
1536,10,10,660,5
1536,10,10,660,5
1536,10,10,660,5
1536,10,10,780,2
1536,10,10,780,3
1536,10,10,780,3
1536,10,10,780,3
1536,10,10,780,3
1536,10,10,840,3
1536,10,10,840,3
1536,10,10,840,3
1536,10,10,840,3
1536,10,10,840,3
1536,10,10,960,2
1536,10,10,960,3
1536,10,10,960,3
1536,10,10,960,3
1536,10,10,960,3
1536,10,10,1020,3
1536,10,10,1020,3
1536,10,10,1020,3
1536,10,10,1020,3
1536,10,10,1020,3
1536,10,10,1140,2
1536,10,10,1140,2
1536,10,10,1140,2
1536,10,10,1140,2
1536,10,10,1140,1
1536,10,10,1260,2
1536,10,10,1260,2
1536,10,10,1260,2
1536,10,10,1260,2
1536,10,10,1260,2
1536,10,10,1320,1
1536,10,10,1320,2
1536,10,10,1320,2
1536,10,10,1320,2
1536,10,10,1320,1
1536,10,12,360,12
1536,10,12,360,12
1536,10,12,360,12
1536,10,12,360,12
1536,10,12,360,12
1536,10,12,480,7
1536,10,12,480,6
1536,10,12,480,6
1536,10,12,480,6
1536,10,12,480,6
1536,10,12,600,7
1536,10,12,600,6
1536,10,12,600,6
1536,10,12,600,6
1536,10,12,600,6
1536,10,12,720,6
1536,10,12,720,6
1536,10,12,720,6
1536,10,12,720,6
1536,10,12,720,6
1536,10,12,900,3
1536,10,12,900,3
1536,10,12,900,3
1536,10,12,900,3
1536,10,12,900,3
1536,10,12,1080,3
1536,10,12,1080,3
1536,10,12,1080,3
1536,10,12,1080,3
1536,10,12,1080,3
1536,10,12,1200,2
1536,10,12,1200,2
1536,10,12,1200,2
1536,10,12,1200,2
1536,10,12,1200,2
1536,10,8,1,8
1536,10,8,1,6
1536,10,8,1,8
1536,10,8,1,7
1536,10,8,1,8
1536,10,8,2,4
1536,10,8,2,4
1536,10,8,2,6
1536,10,8,2,4
1536,10,8,2,2
1536,10,8,4,7
1536,10,8,4,8
1536,10,8,4,8
1536,10,8,4,8
1536,10,8,4,8
1536,10,8,8,6
1536,10,8,8,8
1536,10,8,8,7
1536,10,8,8,7
1536,10,8,8,3
1536,10,8,15,5
1536,10,8,15,7
1536,10,8,15,8
1536,10,8,15,8
1536,10,8,15,8
1536,10,8,30,7
1536,10,8,30,3
1536,10,8,30,7
1536,10,8,30,5
1536,10,8,30,5
1536,10,8,60,5
1536,10,8,60,8
1536,10,8,60,8
1536,10,8,60,8
1536,10,8,60,8
1536,10,8,120,7
1536,10,8,120,8
1536,10,8,120,8
1536,10,8,120,8
1536,10,8,120,8
1536,10,8,180,5
1536,10,8,180,7
1536,10,8,180,8
1536,10,8,180,6
1536,10,8,180,8
1536,10,8,240,8
1536,10,8,240,8
1536,10,8,240,8
1536,10,8,240,8
1536,10,8,240,8
1536,10,8,300,6
1536,10,8,300,7
1536,10,8,300,8
1536,10,8,300,8
1536,10,8,300,8
1536,10,14,1,11
1536,10,14,1,14
1536,10,14,1,14
1536,10,14,1,14
1536,10,14,1,14
1536,10,14,2,9
1536,10,14,2,14
1536,10,14,2,6
1536,10,14,2,5
1536,10,14,2,11
1536,10,14,4,11
1536,10,14,4,12
1536,10,14,4,14
1536,10,14,4,13
1536,10,14,4,14
1536,10,14,8,13
1536,10,14,8,11
1536,10,14,8,1
1536,10,14,8,1
1536,10,14,8,5
1536,10,14,15,14
1536,10,14,15,12
1536,10,14,15,8
1536,10,14,15,14
1536,10,14,15,12
1536,10,14,30,10
1536,10,14,30,7
1536,10,14,30,7
1536,10,14,30,9
1536,10,14,30,7
1536,10,14,60,14
1536,10,14,60,13
1536,10,14,60,14
1536,10,14,60,14
1536,10,14,60,14
1536,10,14,120,11
1536,10,14,120,14
1536,10,14,120,13
1536,10,14,120,14
1536,10,14,120,13
1536,10,14,180,14
